,algo,anormal_detect,anormal_size,component,gamma,machine,normal_detect,normal_size,nu,sensibilite,specificite,type
151,OSVM,18.0,355.0,2.0,0.001,ToyConveyor_02,780.0,800.0,0.020929166666666665,0.05070422535211268,0.975,ToyConveyor
152,OSVM,29.0,355.0,2.0,0.001,ToyConveyor_02,761.0,800.0,0.041758333333333335,0.08169014084507042,0.95125,ToyConveyor
153,OSVM,47.0,355.0,2.0,0.001,ToyConveyor_02,730.0,800.0,0.0625875,0.1323943661971831,0.9125,ToyConveyor
154,OSVM,56.0,355.0,2.0,0.001,ToyConveyor_02,718.0,800.0,0.08341666666666667,0.15774647887323945,0.8975,ToyConveyor
155,OSVM,62.0,355.0,2.0,0.001,ToyConveyor_02,707.0,800.0,0.10424583333333333,0.17464788732394365,0.88375,ToyConveyor
156,OSVM,67.0,355.0,2.0,0.001,ToyConveyor_02,700.0,800.0,0.125075,0.18873239436619718,0.875,ToyConveyor
157,OSVM,74.0,355.0,2.0,0.001,ToyConveyor_02,687.0,800.0,0.14590416666666664,0.2084507042253521,0.85875,ToyConveyor
158,OSVM,82.0,355.0,2.0,0.001,ToyConveyor_02,672.0,800.0,0.16673333333333332,0.23098591549295774,0.84,ToyConveyor
159,OSVM,85.0,355.0,2.0,0.001,ToyConveyor_02,655.0,800.0,0.1875625,0.23943661971830985,0.81875,ToyConveyor
160,OSVM,94.0,355.0,2.0,0.001,ToyConveyor_02,632.0,800.0,0.20839166666666664,0.2647887323943662,0.79,ToyConveyor
161,OSVM,105.0,355.0,2.0,0.001,ToyConveyor_02,618.0,800.0,0.22922083333333332,0.29577464788732394,0.7725,ToyConveyor
162,OSVM,110.0,355.0,2.0,0.001,ToyConveyor_02,603.0,800.0,0.25005,0.30985915492957744,0.75375,ToyConveyor
163,OSVM,117.0,355.0,2.0,0.001,ToyConveyor_02,583.0,800.0,0.27087916666666667,0.3295774647887324,0.72875,ToyConveyor
164,OSVM,125.0,355.0,2.0,0.001,ToyConveyor_02,569.0,800.0,0.2917083333333333,0.352112676056338,0.71125,ToyConveyor
165,OSVM,127.0,355.0,2.0,0.001,ToyConveyor_02,554.0,800.0,0.31253749999999997,0.35774647887323946,0.6925,ToyConveyor
166,OSVM,136.0,355.0,2.0,0.001,ToyConveyor_02,526.0,800.0,0.33336666666666664,0.38309859154929576,0.6575,ToyConveyor
167,OSVM,145.0,355.0,2.0,0.001,ToyConveyor_02,493.0,800.0,0.3541958333333333,0.4084507042253521,0.61625,ToyConveyor
168,OSVM,153.0,355.0,2.0,0.001,ToyConveyor_02,471.0,800.0,0.375025,0.4309859154929577,0.58875,ToyConveyor
169,OSVM,164.0,355.0,2.0,0.001,ToyConveyor_02,450.0,800.0,0.3958541666666666,0.4619718309859155,0.5625,ToyConveyor
170,OSVM,177.0,355.0,2.0,0.001,ToyConveyor_02,435.0,800.0,0.4166833333333333,0.49859154929577465,0.54375,ToyConveyor
171,OSVM,180.0,355.0,2.0,0.001,ToyConveyor_02,428.0,800.0,0.43751249999999997,0.5070422535211268,0.535,ToyConveyor
172,OSVM,189.0,355.0,2.0,0.001,ToyConveyor_02,412.0,800.0,0.45834166666666665,0.532394366197183,0.515,ToyConveyor
173,OSVM,193.0,355.0,2.0,0.001,ToyConveyor_02,395.0,800.0,0.4791708333333333,0.543661971830986,0.49375,ToyConveyor
174,OSVM,202.0,355.0,2.0,0.001,ToyConveyor_02,376.0,800.0,0.5,0.5690140845070423,0.47,ToyConveyor
175,OSVM,53.0,348.0,2.0,0.001,fan_04,94.0,100.0,0.0001,0.15229885057471265,0.94,fan
